"","100","100","100","225","225","225","400","400","400","900","900","900"
"0",3,0.711,0.753,3,0.789,0.834,3,0.832,0.869,3,0.871,0.904
"0",4,0.658,0.711,4,0.767,0.825,4,0.833,0.881,4,0.862,0.904
"0",5,0.631,0.679,5,0.77,0.809,5,0.79,0.834,5,0.857,0.889
"0.14",6,0.574,0.635,6,0.734,0.782,7,0.79,0.843,8,0.85,0.876
"0.14",8,0.495,0.551,9,0.674,0.722,9,0.763,0.831,10,0.821,0.865
"0.14",10,0.397,0.458,11,0.644,0.707,12,0.724,0.782,13,0.81,0.852
"0.16",6,0.564,0.613,7,0.747,0.796,8,0.786,0.832,9,0.851,0.869
"0.16",8,0.487,0.534,10,0.654,0.713,10,0.752,0.791,12,0.827,0.852
"0.16",10,0.39,0.441,12,0.632,0.684,13,0.734,0.774,15,0.816,0.841
"0.24",9,0.459,0.517,11,0.645,0.692,13,0.745,0.79,15,0.823,0.853
"0.24",12,0.32,0.374,15,0.531,0.598,17,0.62,0.692,20,0.754,0.794
"0.24",15,0.199,0.246,18,0.431,0.501,21,0.582,0.655,26,0.727,0.784
"0.3",12,0.315,0.373,15,0.516,0.585,18,0.647,0.701,23,0.755,0.799
"0.3",16,0.162,0.21,20,0.395,0.468,24,0.503,0.576,31,0.682,0.74
"0.3",20,0.084,0.101,25,0.298,0.347,30,0.395,0.473,38,0.575,0.654
"0.4",19,0.114,0.139,26,0.215,0.27,33,0.327,0.396,46,0.508,0.591
"0.4",25,0.025,0.032,35,0.09,0.119,44,0.158,0.208,61,0.312,0.397
"0.4",32,0.002,0.003,44,0.022,0.028,55,0.054,0.078,76,0.168,0.225
